institution,label,institution_state,statefips
00105100,University of Alabama,AL,01
00105200,University of Alabama at Birmingham,AL,01
00105500,University of Alabama in Huntsville,AL,01
00108100,Arizona State University,AZ,04
00108200,Northern Arizona University,AZ,04
00108300,University of Arizona (The),AZ,04
00134500,Adams State University,CO,08
00134600,Arapahoe Community College,CO,08
00134800,Colorado School of Mines,CO,08
00134900,University of Northern Colorado,CO,08
00135000,Colorado State University,CO,08
00135300,Fort Lewis College,CO,08
00135500,Lamar Community College,CO,08
00135800,Colorado Mesa University,CO,08
00135900,Colorado Northwestern Community College,CO,08
00136000,Metropolitan State University of Denver,CO,08
00136100,Northeastern Junior College,CO,08
00136200,Otero Junior College,CO,08
00136500,Colorado State University-Pueblo,CO,08
00136800,Trinidad State Junior College,CO,08
00137000,University of Colorado Boulder,CO,08
00137200,Western Colorado University,CO,08
00137400,Albertus Magnus College,CT,09
00137800,Central Connecticut State University,CT,09
00137900,Connecticut College,CT,09
00138000,Western Connecticut State University,CT,09
00138500,Fairfield University,CT,09
00139200,Manchester Community College,CT,09
00139300,Mitchell College,CT,09
00139700,University of New Haven,CT,09
00139800,Northwestern Connecticut Community College,CT,09
00139900,Norwalk Community College,CT,09
00140200,Quinnipiac University,CT,09
00140300,Sacred Heart University,CT,09
00140600,Southern Connecticut State University,CT,09
00140900,University of Saint Joseph,CT,09
00141600,University of Bridgeport,CT,09
00141700,University of Connecticut,CT,09
00142200,University of Hartford,CT,09
00142500,Eastern Connecticut State University,CT,09
00154100,Abraham Baldwin Agricultural College,GA,13
00154200,Agnes Scott College,GA,13
00154400,Albany State University,GA,13
00155400,Berry College,GA,13
00155800,College of Coastal Georgia,GA,13
00156100,Columbus State University,GA,13
00156300,Emmanuel College,GA,13
00156600,Fort Valley State University,GA,13
00156900,Georgia Institute of Technology,GA,13
00157200,Georgia Southern University,GA,13
00157300,Georgia Southwestern State University,GA,13
00157400,Georgia State University,GA,13
00157500,Gordon State College,GA,13
00157700,Kennesaw State University,GA,13
00157900,Augusta University,GA,13
00158100,Middle Georgia State University,GA,13
00158500,University of North Georgia,GA,13
00158800,Piedmont University,GA,13
00159000,Savannah State University,GA,13
00159200,South Georgia State College,GA,13
00159800,University of Georgia,GA,13
00159900,Valdosta State University,GA,13
00160100,University of West Georgia,GA,13
00160200,Georgia College & State University,GA,13
00160400,Young Harris College,GA,13
00161000,University of Hawaii at Manoa,HI,15
00161100,University of Hawaii at Hilo,HI,15
00161200,Honolulu Community College,HI,15
00161300,Kapiolani Community College,HI,15
00161400,Kauai Community College,HI,15
00161500,University of Hawaii Maui College,HI,15
00178400,Ancilla Domini College,IN,18
00178500,Anderson University,IN,18
00178600,Ball State University,IN,18
00178800,Butler University,IN,18
00179300,Earlham College,IN,18
00179800,Franklin College of Indiana,IN,18
00180000,Grace College and Theological Seminary,IN,18
00180100,Hanover College,IN,18
00180400,University of Indianapolis,IN,18
00180500,Indiana Institute of Technology,IN,18
00180700,Indiana State University,IN,18
00180800,University of Southern Indiana,IN,18
00180900,Indiana University - Bloomington,IN,18
00181100,Indiana University - East,IN,18
00181300,Indiana University - Purdue University Indianapolis,IN,18
00181400,Indiana University - Kokomo,IN,18
00181500,Indiana University - Northwest,IN,18
00181600,Indiana University - South Bend,IN,18
00181700,Indiana University Southeast,IN,18
00182000,Manchester University,IN,18
00182200,Indiana Wesleyan University,IN,18
00182500,Purdue University,IN,18
00182600,Purdue University - North Central,IN,18
00182700,Purdue University Northwest,IN,18
00182800,Purdue University Fort Wayne,IN,18
00183000,Rose-Hulman Institute of Technology,IN,18
00183200,University of Saint Francis,IN,18
00183500,Saint Mary of the Woods College,IN,18
00183900,Trine University,IN,18
00183901,Trine University - Fort Wayne,IN,18
00184200,Valparaiso University,IN,18
00184300,Vincennes University,IN,18
00184400,Wabash College,IN,18
00184800,Southeastern Community College,IA,19
00185700,Southwestern Community College,IA,19
00186400,Iowa Lakes Community College,IA,19
00186500,Iowa Central Community College,IA,19
00186900,Iowa State University of Science & Technology,IA,19
00187500,Iowa Valley Community College District,IA,19
00187700,North Iowa Area Community College,IA,19
00189000,University of Northern Iowa,IA,19
00189200,University of Iowa,IA,19
00193712,Ottawa University - Jeffersonville,IN,18
00200500,Nicholls State University,LA,22
00200600,Grambling State University,LA,22
00200800,Louisiana Tech University,LA,22
00201000,Louisiana State University & Agricultural & Mechanical College,LA,22
00201100,Louisiana State University at Alexandria,LA,22
00201200,Louisiana State University at Eunice,LA,22
00201300,Louisiana State University in Shreveport,LA,22
00201400,Louisiana State University Health Sciences Center,LA,22
00201500,University of New Orleans (The),LA,22
00201700,McNeese State University,LA,22
00202000,University of Louisiana at Monroe,LA,22
00202100,Northwestern State University,LA,22
00202400,Southeastern Louisiana University,LA,22
00202500,Southern University and Agricultural & Mechanical Colg at Baton Rouge,LA,22
00202600,Southern University at New Orleans,LA,22
00203100,University of Louisiana at Lafayette,LA,22
00203300,University Of Maine Presque Isle,ME,23
00204000,University of Maine - Farmington,ME,23
00204100,University of Maine - Fort Kent,ME,23
00205300,University of Maine,ME,23
00205400,University of Southern Maine,ME,23
00205500,University of Maine - Machias,ME,23
00216100,University of Massachusetts - Lowell,MA,25
00216700,Berkshire Community College,MA,25
00216800,Cape Cod Community College,MA,25
00216900,Greenfield Community College,MA,25
00217000,Holyoke Community College,MA,25
00217100,Massachusetts Bay Community College,MA,25
00217200,Mount Wachusett Community College,MA,25
00217300,North Shore Community College,MA,25
00217400,Northern Essex Community College,MA,25
00217500,Quinsigamond Community College,MA,25
00217600,Bristol Community College,MA,25
00217700,Massasoit Community College,MA,25
00218000,Massachusetts College of Art and Design,MA,25
00218100,Massachusetts Maritime Academy,MA,25
00218300,Bridgewater State University,MA,25
00218400,Fitchburg State University,MA,25
00218500,Framingham State University,MA,25
00218700,Massachusetts College of Liberal Arts,MA,25
00218800,Salem State University,MA,25
00218900,Westfield State University,MA,25
00219000,Worcester State University,MA,25
00221000,University of Massachusetts at Dartmouth,MA,25
00222100,University of Massachusetts - Amherst,MA,25
00222200,University of Massachusetts at Boston,MA,25
00232500,University of Michigan,MI,26
00233200,Anoka-Ramsey Community College,MN,27
00233400,Augsburg University,MN,27
00233500,Riverland Community College,MN,27
00233600,Bemidji State University,MN,27
00233700,Bethany Lutheran College,MN,27
00233900,Central Lakes College,MN,27
00234000,Carleton College,MN,27
00234100,College of St Benedict,MN,27
00234200,St. Catherine University,MN,27
00234300,College of Saint Scholastica,MN,27
00234500,University of St Thomas,MN,27
00234600,Concordia College - Moorhead,MN,27
00234700,Concordia University - Saint Paul,MN,27
00235000,Vermilion Community College,MN,27
00235300,Gustavus Adolphus College,MN,27
00235400,Hamline University,MN,27
00235500,Hibbing Community College,MN,27
00235600,Itasca Community College,MN,27
00235800,Macalester College,MN,27
00236000,"Minnesota State University, Mankato",MN,27
00236200,Minneapolis Community and Technical College,MN,27
00236500,Minneapolis College of Art & Design,MN,27
00236700,Minnesota State University Moorhead,MN,27
00237000,North Hennepin Community College,MN,27
00237100,University of Northwestern- St Paul,MN,27
00237300,Rochester Community and Technical College,MN,27
00237500,Southwest Minnesota State University,MN,27
00237700,St. Cloud State University,MN,27
00237900,Saint John's University,MN,27
00238000,Saint Mary's University of Minnesota,MN,27
00238200,St Olaf College,MN,27
00238500,Northland Community and Technical College,MN,27
00238800,University of Minnesota  Duluth,MN,27
00238900,University of Minnesota Morris,MN,27
00239300,Minnesota State College Southeast,MN,27
00239400,Winona State University,MN,27
00245400,University of Central Missouri,MO,29
00245900,Crowder College,MO,29
00246600,Harris - Stowe State University,MO,29
00246800,Jefferson College,MO,29
00247100,Saint Louis Community College,MO,29
00247900,Lincoln University,MO,29
00248400,Metropolitan Community College,MO,29
00248600,Mineral Area College,MO,29
00248800,Missouri Southern State University,MO,29
00249000,Missouri Western State University,MO,29
00249100,Moberly Area Community College,MO,29
00249500,Truman State University,MO,29
00249600,Northwest Missouri State University,MO,29
00250100,Southeast Missouri State University,MO,29
00250300,Missouri State University,MO,29
00251400,North Central Missouri College,MO,29
00251600,University of Missouri - Columbia,MO,29
00251700,Missouri University of Science and Technology,MO,29
00251800,University of Missouri - Kansas City,MO,29
00251900,University of Missouri - Saint Louis,MO,29
00252800,Miles Community College,MT,30
00252900,Dawson Community College,MT,30
00253000,Montana State University - Billings,MT,30
00253100,Montana Technological University,MT,30
00253200,Montana State University Bozeman,MT,30
00253300,Montana State University - Northern,MT,30
00253600,University of Montana (The),MT,30
00253700,University of Montana Western (The),MT,30
00268700,CUNY Brooklyn College,NY,36
00268800,City College of New York - CUNY,NY,36
00268900,CUNY Hunter College,NY,36
00269000,CUNY Queens College,NY,36
00269100,CUNY Borough of Manhattan Community College,NY,36
00269200,CUNY Bronx Community College,NY,36
00269300,CUNY John Jay College of Criminal Justice,NY,36
00269400,Kingsborough Commmunity College/CUNY,NY,36
00269600,New York City College of Technology of the City University of New York,NY,36
00269700,Queensborough Community College-CUNY,NY,36
00269800,College of Staten Island/CUNY,NY,36
00283500,State University of New York at Albany,NY,36
00283600,Binghamton University,NY,36
00283700,State University of New York at Buffalo,NY,36
00283800,State University of New York at Stony Brook,NY,36
00283900,State University of New York Downstate Medical Center,NY,36
00284000,State University of New York Upstate Medical University,NY,36
00284100,State University of New York College at Brockport,NY,36
00284200,SUNY College at Buffalo,NY,36
00284300,SUNY College at Cortland,NY,36
00284400,SUNY at Fredonia,NY,36
00284500,SUNY College at Geneseo,NY,36
