cipcode,label_cipcode
0,All Instructional Programs
3,"Natural Resources and
Conservation"
5,"Area, Ethnic, Cultural,
Gender, and Group Studies"
9,"Communication, Journalism,
and Related Programs"
11,"Computer and Information
Sciences and Support
Services"
13,Education
14,Engineering
16,"Foreign Languages,
Literatures, and Linguistics"
19,"Family and Consumer
Sciences/Human Sciences"
22,"Legal Professions and
Studies"
23,"English Language and
Literature/Letters"
25,Library Science
26,"Biological and Biomedical
Sciences"
27,Mathematics and Statistics
30,Multi/Interdisciplinary Studies
31,"Parks, Recreation, Leisure,
Fitness, and Kinesiology"
38,"Philosophy and Religious
Studies"
40,Physical Sciences
42,Psychology
43,"Homeland Security, Law
Enforcement, Firefighting and
Related Protective Services"
44,"Public Administration and
Social Service Professions"
45,Social Sciences
50,Visual and Performing Arts
51,"Health Professions and
Related Programs"
52,"Business, Management,
Marketing, and Related
Support Services"
54,History
24,"Liberal Arts and Sciences,
General Studies and
Humanities"
3.01,"Natural Resources
Conservation and Research"
5.01,Area Studies
5.02,"Ethnic, Cultural Minority,
Gender, and Group Studies"
9.01,"Communication and Media
Studies"
9.04,Journalism
9.07,"Radio, Television, and Digital
Communication"
9.09,"Public Relations, Advertising,
and Applied Communication"
11.01,"Computer and Information
Sciences, General"
13.04,"Educational Administration
and Supervision"
13.05,"Educational/Instructional
Media Design"
13.06,"Educational Assessment,
Evaluation, and Research"
13.1,"Special Education and
Teaching"
13.11,"Student Counseling and
Personnel Services"
13.12,"Teacher Education and
Professional Development,
Specific Levels and Methods"
13.13,"Teacher Education and
Professional Development,
Specific Subject Areas"
13.14,"Teaching English or French
as a Second or Foreign
Language"
14.01,"Engineering, General"
14.02,"Aerospace, Aeronautical, and
Astronautical/Space
Engineering"
14.04,Architectural Engineering
14.07,Chemical Engineering
14.08,Civil Engineering
14.1,"Electrical, Electronics, and
Communications Engineering"
14.11,Engineering Mechanics
14.14,"Environmental/Environmental
Health Engineering"
14.18,Materials Engineering
14.19,Mechanical Engineering
14.2,Metallurgical Engineering
14.33,Construction Engineering
14.35,Industrial Engineering
16.01,"Linguistic, Comparative, and
Related Language Studies
and Services"
16.04,"Slavic, Baltic and Albanian
Languages, Literatures, and
Linguistics"
16.05,"Germanic Languages,
Literatures, and Linguistics"
16.09,"Romance Languages,
Literatures, and Linguistics"
16.12,"Classics and Classical
Languages, Literatures, and
Linguistics"
19.01,"Family and Consumer
Sciences/Human Sciences,
General"
19.04,"Family and Consumer
Economics and Related
Studies"
19.05,"Foods, Nutrition, and Related
Services"
19.07,"Human Development, Family
Studies, and Related Services"
19.09,Apparel and Textiles
22.01,Law
22.02,"Legal Research and
Advanced Professional
Studies"
23.01,"English Language and
Literature, General"
23.13,"Rhetoric and
Composition/Writing Studies"
25.01,"Library Science and
Administration"
26.01,"Biology, General"
26.04,"Cell/Cellular Biology and
Anatomical Sciences"
26.05,"Microbiological Sciences and
Immunology"
26.13,"Ecology, Evolution,
Systematics, and Population
Biology"
27.01,Mathematics
27.03,Applied Mathematics
27.05,Statistics
30,"Multi-/Interdisciplinary
Studies, General"
30.99,"Multi/Interdisciplinary Studies,
Other"
31.05,"Sports, Kinesiology, and
Physical Education/Fitness"
38.01,Philosophy
38.02,Religion/Religious Studies
40.05,Chemistry
40.06,"Geological and Earth
Sciences/Geosciences"
40.08,Physics
40.1,Materials Sciences
42.01,"Psychology, General"
42.28,"Clinical, Counseling and
Applied Psychology"
43.01,"Criminal Justice and
Corrections"
44.04,Public Administration
44.07,Social Work
45.02,Anthropology
45.04,Criminology
45.07,Geography and Cartography
45.09,"International Relations and
National Security Studies"
45.1,"Political Science and
Government"
45.11,Sociology
50.03,Dance
50.04,Design and Applied Arts
50.05,"Drama/Theatre Arts and
Stagecraft"
50.07,Fine and Studio Arts
50.09,Music
51.02,"Communication Disorders
Sciences and Services"
51.07,"Health and Medical
Administrative Services"
51.09,"Allied Health Diagnostic,
Intervention, and Treatment
Professions"
51.1,"Clinical/Medical Laboratory
Science/Research and Allied
Professions"
51.15,"Mental and Social Health
Services and Allied
Professions"
51.22,Public Health
51.23,"Rehabilitation and
Therapeutic Professions"
51.31,"Dietetics and Clinical Nutrition
Services"
51.38,"Registered Nursing, Nursing
Administration, Nursing
Research and Clinical Nursing"
51.99,"Health Professions and
Related Clinical Sciences,
Other"
52.02,"Business Administration,
Management and Operations"
52.03,"Accounting and Related
Services"
52.06,"Business/Managerial
Economics"
52.08,"Finance and Financial
Management Services"
52.09,"Hospitality
Administration/Management"
52.12,"Management Information
Systems and Services"
52.13,"Management Sciences and
Quantitative Methods"
52.14,Marketing
52.16,Taxation
54.01,History
11.1,"Computer/Information
Technology Administration
and Management"
13.01,"Education, General"
13.03,Curriculum and Instruction
14.05,"Biomedical/Medical
Engineering"
14.09,Computer Engineering
14.47,"Electrical and Computer
Engineering"
14.99,"Engineering, Other"
24.01,"Liberal Arts and Sciences,
General Studies and
Humanities"
26.02,"Biochemistry, Biophysics and
Molecular Biology"
26.08,Genetics
