institution code,institution name,State
105100,The University of Alabama,Alabama
105200,University of Alabama at Birmingham,Alabama
105500,University of Alabama in Huntsville,Alabama
108100,Arizona State University Campus Immersion,Arizona
108200,Northern Arizona University,Arizona
108300,University of Arizona,Arizona
134500,Adams State University,Colorado
134600,Arapahoe Community College,Colorado
134800,Colorado School of Mines,Colorado
134900,University of Northern Colorado,Colorado
135000,Colorado State University-Fort Collins,Colorado
135300,Fort Lewis College,Colorado
135500,Lamar Community College,Colorado
135800,Colorado Mesa University,Colorado
135900,Colorado Northwestern Community College,Colorado
136000,Metropolitan State University of Denver,Colorado
136100,Northeastern Junior College,Colorado
136200,Otero College,Colorado
136500,Colorado State University Pueblo,Colorado
136800,Trinidad State College,Colorado
137000,University of Colorado Boulder,Colorado
137200,Western Colorado University,Colorado
137400,Albertus Magnus College,Connecticut
137800,Central Connecticut State University,Connecticut
137900,Connecticut College,Connecticut
138000,Western Connecticut State University,Connecticut
138500,Fairfield University,Connecticut
139200,Manchester Community College,Connecticut
139300,Mitchell College,Connecticut
139700,University of New Haven,Connecticut
139800,Northwestern Connecticut Community College,Connecticut
139900,Norwalk Community College,Connecticut
140200,Quinnipiac University,Connecticut
140300,Sacred Heart University,Connecticut
140600,Southern Connecticut State University,Connecticut
140900,University of Saint Joseph,Connecticut
141600,University of Bridgeport,Connecticut
141700,University of Connecticut,Connecticut
142200,University of Hartford,Connecticut
142500,Eastern Connecticut State University,Connecticut
154100,Abraham Baldwin Agricultural College,Georgia
154200,Agnes Scott College,Georgia
154400,Albany State University,Georgia
155400,Berry College,Georgia
155800,College of Coastal Georgia,Georgia
156100,Columbus State University,Georgia
156300,Emmanuel College,Georgia
156600,Fort Valley State University,Georgia
156900,Georgia Institute of Technology-Main Campus,Georgia
157200,Georgia Southern University,Georgia
157300,Georgia Southwestern State University,Georgia
157400,Georgia State University,Georgia
157500,Gordon State College,Georgia
157700,Kennesaw State University,Georgia
157900,Augusta University,Georgia
158100,Middle Georgia State University,Georgia
158500,University of North Georgia,Georgia
158800,Piedmont University,Georgia
159000,Savannah State University,Georgia
159200,South Georgia State College,Georgia
159800,University of Georgia,Georgia
159900,Valdosta State University,Georgia
160100,University of West Georgia,Georgia
160200,Georgia College & State University,Georgia
160400,Young Harris College,Georgia
161000,University of Hawaii at Manoa,Hawaii
161100,University of Hawaii at Hilo,Hawaii
161200,Honolulu Community College,Hawaii
161300,Kapiolani Community College,Hawaii
161400,Kauai Community College,Hawaii
161500,University of Hawaii Maui College,Hawaii
178500,Anderson University,Indiana
178600,Ball State University,Indiana
178800,Butler University,Indiana
179300,Earlham College,Indiana
179800,Franklin College,Indiana
180000,Grace College and Theological Seminary,Indiana
180100,Hanover College,Indiana
180400,University of Indianapolis,Indiana
180500,Indiana Institute of Technology,Indiana
180700,Indiana State University,Indiana
180800,University of Southern Indiana,Indiana
180900,Indiana University-Bloomington,Indiana
181100,Indiana University-East,Indiana
181300,Indiana University-Purdue University-Indianapolis,Indiana
181400,Indiana University-Kokomo,Indiana
181500,Indiana University-Northwest,Indiana
181600,Indiana University-South Bend,Indiana
181700,Indiana University-Southeast,Indiana
182000,Manchester University,Indiana
182200,Indiana Wesleyan University-Marion,Indiana
182500,Purdue University-Main Campus,Indiana
182700,Purdue University Northwest,Indiana
182800,Purdue University Fort Wayne,Indiana
183000,Rose-Hulman Institute of Technology,Indiana
183200,University of Saint Francis-Fort Wayne,Indiana
183500,Saint Mary-of-the-Woods College,Indiana
183900,Trine University,Indiana
183901,Trine University-Regional/Non-Traditional Campuses,Indiana
184200,Valparaiso University,Indiana
184300,Vincennes University,Indiana
184400,Wabash College,Indiana
184800,Southeastern Community College,Iowa
185700,Southwestern Community College,Iowa
186400,Iowa Lakes Community College,Iowa
186500,Iowa Central Community College,Iowa
186900,Iowa State University,Iowa
187500,Marshalltown Community College,Iowa
187700,North Iowa Area Community College,Iowa
189000,University of Northern Iowa,Iowa
189200,University of Iowa,Iowa
200500,Nicholls State University,Louisiana
200600,Grambling State University,Louisiana
200800,Louisiana Tech University,Louisiana
201000,Louisiana State University and Agricultural & Mechanical College,Louisiana
201100,Louisiana State University-Alexandria,Louisiana
201200,Louisiana State University-Eunice,Louisiana
201300,Louisiana State University-Shreveport,Louisiana
201400,Louisiana State University Health Sciences Center-New Orleans,Louisiana
201500,University of New Orleans,Louisiana
201700,McNeese State University,Louisiana
202000,University of Louisiana at Monroe,Louisiana
202100,Northwestern State University of Louisiana,Louisiana
202400,Southeastern Louisiana University,Louisiana
202500,Southern University and A & M College,Louisiana
202600,Southern University at New Orleans,Louisiana
203100,University of Louisiana at Lafayette,Louisiana
203300,University of Maine at Presque Isle,Maine
204000,University of Maine at Farmington,Maine
204100,University of Maine at Fort Kent,Maine
205300,University of Maine,Maine
205400,University of Southern Maine,Maine
216100,University of Massachusetts-Lowell,Massachusetts
216700,Berkshire Community College,Massachusetts
216800,Cape Cod Community College,Massachusetts
216900,Greenfield Community College,Massachusetts
217000,Holyoke Community College,Massachusetts
217100,Massachusetts Bay Community College,Massachusetts
217200,Mount Wachusett Community College,Massachusetts
217300,North Shore Community College,Massachusetts
217400,Northern Essex Community College,Massachusetts
217500,Quinsigamond Community College,Massachusetts
217600,Bristol Community College,Massachusetts
217700,Massasoit Community College,Massachusetts
218000,Massachusetts College of Art and Design,Massachusetts
218100,Massachusetts Maritime Academy,Massachusetts
218300,Bridgewater State University,Massachusetts
218400,Fitchburg State University,Massachusetts
218500,Framingham State University,Massachusetts
218700,Massachusetts College of Liberal Arts,Massachusetts
218800,Salem State University,Massachusetts
218900,Westfield State University,Massachusetts
219000,Worcester State University,Massachusetts
221000,University of Massachusetts-Dartmouth,Massachusetts
222100,University of Massachusetts-Amherst,Massachusetts
222200,University of Massachusetts-Boston,Massachusetts
232500,University of Michigan-Ann Arbor,Michigan
233200,Anoka-Ramsey Community College,Minnesota
233400,Augsburg University,Minnesota
233500,Riverland Community College,Minnesota
233600,Bemidji State University,Minnesota
233700,Bethany Lutheran College,Minnesota
233900,Central Lakes College-Brainerd,Minnesota
234000,Carleton College,Minnesota
234100,College of Saint Benedict,Minnesota
234200,St Catherine University,Minnesota
234300,The College of Saint Scholastica,Minnesota
234500,University of St Thomas,Minnesota
234600,Concordia College at Moorhead,Minnesota
234700,Concordia University-Saint Paul,Minnesota
235300,Gustavus Adolphus College,Minnesota
235400,Hamline University,Minnesota
235500,Minnesota North College,Minnesota
235800,Macalester College,Minnesota
236000,Minnesota State University-Mankato,Minnesota
236200,Minneapolis Community and Technical College,Minnesota
236500,Minneapolis College of Art and Design,Minnesota
236700,Minnesota State University Moorhead,Minnesota
237000,North Hennepin Community College,Minnesota
237100,University of Northwestern-St Paul,Minnesota
237300,Rochester Community and Technical College,Minnesota
237500,Southwest Minnesota State University,Minnesota
237700,Saint Cloud State University,Minnesota
237900,Saint Johns University,Minnesota
238000,Saint Mary's University of Minnesota,Minnesota
238200,St Olaf College,Minnesota
238500,Northland Community and Technical College,Minnesota
238800,University of Minnesota-Duluth,Minnesota
238900,University of Minnesota-Morris,Minnesota
239300,Minnesota State College Southeast,Minnesota
239400,Winona State University,Minnesota
245400,University of Central Missouri,Missouri
245900,Crowder College,Missouri
246600,Harris-Stowe State University,Missouri
246800,Jefferson College,Missouri
247100,Saint Louis Community College,Missouri
247900,Lincoln University,Missouri
248400,Metropolitan Community College-Kansas City,Missouri
248600,Mineral Area College,Missouri
248800,Missouri Southern State University,Missouri
249000,Missouri Western State University,Missouri
249100,Moberly Area Community College,Missouri
249500,Truman State University,Missouri
249600,Northwest Missouri State University,Missouri
250100,Southeast Missouri State University,Missouri
250300,Missouri State University-Springfield,Missouri
251400,North Central Missouri College,Missouri
251600,University of Missouri-Columbia,Missouri
251700,Missouri University of Science and Technology,Missouri
251800,University of Missouri-Kansas City,Missouri
251900,University of Missouri-St Louis,Missouri
252800,Miles Community College,Montana
252900,Dawson Community College,Montana
253000,Montana State University Billings,Montana
253100,Montana Technological University,Montana
253200,Montana State University,Montana
253300,Montana State University-Northern,Montana
253600,The University of Montana,Montana
253700,The University of Montana-Western,Montana
268700,CUNY Brooklyn College,New York
268800,CUNY City College,New York
268900,CUNY Hunter College,New York
269000,CUNY Queens College,New York
269100,CUNY Borough of Manhattan Community College,New York
269200,CUNY Bronx Community College,New York
269300,CUNY John Jay College of Criminal Justice,New York
269400,CUNY Kingsborough Community College,New York
269600,CUNY New York City College of Technology,New York
269700,CUNY Queensborough Community College,New York
269800,College of Staten Island CUNY,New York
283500,SUNY at Albany,New York
283600,Binghamton University,New York
283700,University at Buffalo,New York
283800,Stony Brook University,New York
283900,SUNY Downstate Health Sciences University,New York
284000,Upstate Medical University,New York
284100,SUNY Brockport,New York
284200,SUNY Buffalo State University,New York
284300,SUNY Cortland,New York
